,Average_Temparature
1980-01-01,8.488487243652344
1980-01-02,8.798177719116211
1980-01-03,7.985215663909912
1980-01-04,7.353001594543457
1980-01-05,7.060577869415283
1980-01-06,6.556908130645752
1980-01-07,6.793341636657715
1980-01-08,7.388482570648193
1980-01-09,7.6800618171691895
1980-01-10,7.909117221832275
1980-01-11,7.492822647094727
1980-01-12,8.644633293151855
1980-01-13,8.330989837646484
1980-01-14,7.431085586547852
1980-01-15,7.323225498199463
1980-01-16,7.615998268127441
1980-01-17,8.177485466003418
1980-01-18,8.333012580871582
1980-01-19,8.737908363342285
1980-01-20,8.849358558654785
1980-01-21,10.101055145263672
1980-01-22,9.347758293151855
1980-01-23,8.88213062286377
1980-01-24,9.106119155883789
1980-01-25,8.621234893798828
1980-01-26,9.17631721496582
1980-01-27,9.70927619934082
1980-01-28,9.598660469055176
1980-01-29,8.115113258361816
1980-01-30,8.217686653137207
1980-01-31,8.671753883361816
1980-02-01,8.488533973693848
1980-02-02,10.141983032226562
1980-02-03,11.503653526306152
1980-02-04,10.69524097442627
1980-02-05,10.0617036819458
1980-02-06,8.797142028808594
1980-02-07,8.650997161865234
1980-02-08,8.274105072021484
1980-02-09,9.528050422668457
1980-02-10,9.11816120147705
1980-02-11,9.17644214630127
1980-02-12,9.596476554870605
1980-02-13,10.458473205566406
1980-02-14,10.96653938293457
1980-02-15,9.842378616333008
1980-02-16,11.205341339111328
1980-02-17,9.443205833435059
1980-02-18,9.906038284301758
1980-02-19,10.342086791992188
1980-02-20,10.952859878540039
1980-02-21,12.02526569366455
1980-02-22,12.190160751342773
1980-02-23,12.539079666137695
1980-02-24,12.66954517364502
1980-02-25,12.17291259765625
1980-02-26,12.876317977905273
1980-02-27,12.087761878967285
1980-02-28,13.159077644348145
1980-02-29,12.546895980834961
1980-03-01,10.922137260437012
1980-03-02,9.852176666259766
1980-03-03,11.378495216369629
1980-03-04,11.814441680908203
1980-03-05,13.359643936157227
1980-03-06,13.021316528320312
1980-03-07,11.82813835144043
1980-03-08,12.202042579650879
1980-03-09,11.742854118347168
1980-03-10,12.213196754455566
1980-03-11,12.187273979187012
1980-03-12,12.665417671203613
1980-03-13,12.164753913879395
1980-03-14,13.693876266479492
1980-03-15,14.013839721679688
1980-03-16,14.091984748840332
1980-03-17,13.491788864135742
1980-03-18,14.525918006896973
1980-03-19,15.406230926513672
1980-03-20,15.773863792419434
1980-03-21,16.068552017211914
1980-03-22,16.728282928466797
1980-03-23,17.57771110534668
1980-03-24,16.361299514770508
1980-03-25,16.75800895690918
1980-03-26,17.90144157409668
1980-03-27,17.481901168823242
1980-03-28,17.551706314086914
1980-03-29,15.967381477355957
1980-03-30,14.130812644958496
1980-03-31,14.121456146240234
1980-04-01,16.277660369873047
1980-04-02,17.467796325683594
1980-04-03,17.32941436767578
1980-04-04,17.733142852783203
1980-04-05,18.038896560668945
1980-04-06,18.517724990844727
1980-04-07,18.427907943725586
1980-04-08,19.69234275817871
1980-04-09,20.097442626953125
1980-04-10,19.83514404296875
1980-04-11,19.501243591308594
1980-04-12,20.172626495361328
1980-04-13,20.652231216430664
1980-04-14,21.04015350341797
1980-04-15,20.10927391052246
1980-04-16,19.85238265991211
1980-04-17,20.52298927307129
1980-04-18,19.924625396728516
1980-04-19,20.84318733215332
1980-04-20,19.941564559936523
1980-04-21,21.594606399536133
1980-04-22,22.03998374938965
1980-04-23,20.79510498046875
1980-04-24,21.617685317993164
1980-04-25,22.039575576782227
1980-04-26,21.747671127319336
1980-04-27,21.976102828979492
1980-04-28,21.79741668701172
1980-04-29,22.172710418701172
1980-04-30,20.23287582397461
1980-05-01,20.703689575195312
1980-05-02,21.353534698486328
1980-05-03,20.581253051757812
1980-05-04,21.06110382080078
1980-05-05,21.70260238647461
1980-05-06,19.67293357849121
1980-05-07,21.450227737426758
1980-05-08,21.21027946472168
1980-05-09,20.58669662475586
1980-05-10,19.030853271484375
1980-05-11,19.017702102661133
1980-05-12,18.873371124267578
1980-05-13,19.529996871948242
1980-05-14,20.3560733795166
1980-05-15,19.813404083251953
1980-05-16,20.581485748291016
1980-05-17,20.328060150146484
1980-05-18,20.806777954101562
1980-05-19,20.998523712158203
1980-05-20,19.780879974365234
1980-05-21,20.974960327148438
1980-05-22,21.673751831054688
1980-05-23,21.21106719970703
1980-05-24,21.73359489440918
1980-05-25,22.425148010253906
1980-05-26,20.15738868713379
1980-05-27,19.13574981689453
1980-05-28,18.625383377075195
1980-05-29,19.028532028198242
1980-05-30,20.568262100219727
1980-05-31,20.61727523803711
1980-06-01,20.745471954345703
1980-06-02,20.897157669067383
1980-06-03,20.529436111450195
1980-06-04,20.897594451904297
1980-06-05,21.343490600585938
1980-06-06,21.384201049804688
1980-06-07,20.133298873901367
1980-06-08,18.990297317504883
1980-06-09,21.030622482299805
1980-06-10,21.3930721282959
1980-06-11,22.030521392822266
1980-06-12,21.092012405395508
1980-06-13,21.2554988861084
1980-06-14,22.316675186157227
1980-06-15,22.63401222229004
1980-06-16,21.604642868041992
1980-06-17,22.633058547973633
1980-06-18,22.936220169067383
1980-06-19,20.479475021362305
1980-06-20,21.45856285095215
1980-06-21,22.26192283630371
1980-06-22,21.659238815307617
1980-06-23,22.02280044555664
1980-06-24,22.599258422851562
1980-06-25,22.31605339050293
1980-06-26,23.07033920288086
1980-06-27,22.81882095336914
1980-06-28,23.348325729370117
1980-06-29,23.520648956298828
1980-06-30,23.840347290039062
1980-07-01,23.176420211791992
1980-07-02,22.762348175048828
1980-07-03,23.259353637695312
1980-07-04,22.801929473876953
1980-07-05,23.140056610107422
1980-07-06,22.313827514648438
1980-07-07,22.57402992248535
1980-07-08,20.122562408447266
1980-07-09,21.705848693847656
1980-07-10,22.89708137512207
1980-07-11,22.699138641357422
1980-07-12,22.681859970092773
1980-07-13,22.4371337890625
1980-07-14,22.155961990356445
1980-07-15,21.46121597290039
1980-07-16,21.278060913085938
1980-07-17,21.700448989868164
1980-07-18,22.132190704345703
1980-07-19,21.971416473388672
1980-07-20,21.564847946166992
1980-07-21,21.44202995300293
1980-07-22,21.846521377563477
1980-07-23,21.724729537963867
1980-07-24,22.7752628326416
1980-07-25,22.290340423583984
1980-07-26,22.259906768798828
1980-07-27,22.303333282470703
1980-07-28,22.077524185180664
1980-07-29,22.22010040283203
1980-07-30,21.014986038208008
1980-07-31,20.852703094482422
1980-08-01,20.896692276000977
1980-08-02,22.172870635986328
1980-08-03,22.2874755859375
1980-08-04,22.47093391418457
1980-08-05,21.763900756835938
1980-08-06,21.61733627319336
1980-08-07,21.643232345581055
1980-08-08,21.590606689453125
1980-08-09,21.419523239135742
1980-08-10,21.728357315063477
1980-08-11,22.11396026611328
1980-08-12,22.031187057495117
1980-08-13,21.610271453857422
1980-08-14,22.27593994140625
1980-08-15,20.660139083862305
